game_id;date;home_club_id;away_club_id;home_club_manager_name;away_club_manager_name;stadium;attendance;referee;home_club_name;away_club_name;Results
4094582;11/08/2023;417;1082;Francesco Farioli;Paulo Fonseca;Allianz Riviera;29436.0;Benoît Bastien;Olympique Gymnaste Club Nice Côte d'Azur;Lille Olympique Sporting Club Lille Métropole;0
4094578;12/08/2023;583;1158;Luis Enrique;Régis Le Bris;Parc des Princes;47579.0;Bastien Dechepy;Paris Saint-Germain Football Club;Football Club Lorient-Bretagne Sud;0
4094581;12/08/2023;244;1421;Marcelino;Will Still;Orange Vélodrome;63787.0;Eric Wattellier;Olympique de Marseille;Stade de Reims;1
4094586;13/08/2023;3911;826;Éric Roy;Franck Haise;Stade Francis-Le Blé;15085.0;Jérémie Pignard;Stade brestois 29;Racing Club de Lens;1
4094585;13/08/2023;969;738;Michel Der Zakarian;Luka Elsner;Stade de la Mosson;15852.0;Clément Turpin;Montpellier Hérault Sport Club;Le Havre Athletic Club;0
4094580;13/08/2023;273;347;Bruno Génésio;László Bölöni;Roazhon Park;26065.0;Jérémy Stinat;Stade Rennais Football Club;Football Club de Metz;1
4094583;13/08/2023;3524;162;Pascal Gastien;Adi Hütter;Stade Gabriel-Montpied;10453.0;François Letexier;Clermont Foot 63;Association sportive de Monaco Football Club;-1
4094579;13/08/2023;667;1041;Patrick Vieira;Laurent Blanc;Stade de la Meinau;25410.0;Jérôme Brisard;Racing Club de Strasbourg Alsace;Olympique Lyonnais;1
4094584;13/08/2023;995;415;Pierre Aristouy;Carles Martínez;Stade de la Beaujoire;30578.0;Willy Delajod;Football Club de Nantes;Toulouse Football Club;-1
4094595;18/08/2023;347;244;László Bölöni;Marcelino;Stade Saint-Symphorien;26661.0;Jérôme Brisard;Football Club de Metz;Olympique de Marseille;0
4094587;19/08/2023;415;583;Carles Martínez;Luis Enrique;Stadium Municipal;27332.0;Thomas Léonard;Toulouse Football Club;Paris Saint-Germain Football Club;0
4094591;19/08/2023;1041;969;Laurent Blanc;Michel Der Zakarian;Groupama Stadium;42576.0;Mathieu Vernice;Olympique Lyonnais;Montpellier Hérault Sport Club;-1
4094590;20/08/2023;1082;995;Paulo Fonseca;Pierre Aristouy;Decathlon Arena-Stade Pierre-Mauroy;34356.0;Pierre Gaillouste;Lille Olympique Sporting Club Lille Métropole;Football Club de Nantes;1
4094594;20/08/2023;738;3911;Luka Elsner;Éric Roy;Stade Océane;19574.0;Florent Batta;Le Havre Athletic Club;Stade brestois 29;-1
4094592;20/08/2023;1421;3524;Will Still;Pascal Gastien;Stade Auguste-Delaune;12887.0;Romain Lissorgue;Stade de Reims;Clermont Foot 63;1
